slug,nameEn,descriptionEn,descriptionBn,descriptionAr
"adidas-samba-indoor","adidas Samba Indoor Shoes","adidas Samba Indoor Shoes are a low-profile indoor footwear model suited for court sports and futsal. They pair a slim sole for indoor surfaces with a lace-up upper for a secure fit, and are offered in various sizes and colorways depending on market. Jafory lists merchant availability for discovery only—verify current product details and the official or authorised seller page before buying.","adidas Samba Indoor Shoes একটি লো‑প্রোফাইল ইনডোর জুতো মডেল, কোর্ট স্পোর্টস ও ফুটসালের জন্য উপযোগী। এটি সাধারণত ইনডোর মেঝের জন্য পাতলা সোল ও লেস‑আপ ডিজাইন দিয়ে কচিং ফিট দেয় এবং বাজারভেদে সাইজ ও রঙে ভিন্নতা থাকতে পারে। Jafory শুধুমাত্র বিক্রেতা তালিকা দেখায় — কেনার আগে পণ্যের বিবরণ ও অফিসিয়াল/অনুমোদিত বিক্রেতার পাতা যাচাই করুন।","حذاء adidas Samba Indoor Shoes هو موديل منخفض الارتفاع مخصّص للاستخدام داخل الصالات مثل ملاعب الفوتسال أو الكورت. يتميز بنعل مناسب للأسطح الداخلية وتصميم برباط لثبات القدم، ويتوفر بألوان ومقاسات تختلف حسب السوق. يعرض Jafory قوائم المتاجر لأغراض الاكتشاف فقط — تحقق من تفاصيل المنتج وصفحة البائع الرسمي أو المعتمد قبل الشراء."
"ai-for-everyone-andrew-ng","AI For Everyone — Andrew Ng","Official course guide from DeepLearning.AI and Andrew Ng for the AI For Everyone programme, summarising syllabus, learning format and certificate terms. Use it to compare teaching approach, estimated time commitment and credential rules before you enrol. Jafory’s affiliate destination remains blank until programme approval is granted. Verify course details on the provider’s site; Jafory does not sell the course.","DeepLearning.AI এবং এন্ড্রু ন্যাং-এর AI For Everyone কোর্সের অফিসিয়াল নির্দেশিকা—পাঠ্যক্রম, শেখার ফরম্যাট ও সার্টিফিকেট শর্তগুলো সংক্ষেপে উপস্থাপন করা হয়েছে। ভর্তির আগে শেখার ধরন, সময়ব্যয় ও শংসাপত্রের নিয়মগুলো তুলনা করুন। Jafory-এর অ্যাফিলিয়েট লিংক অনুমোদন না পাওয়া পর্যন্ত ফাঁকা থাকবে। কোর্সের তথ্য প্রদানকারীর সাইটে যাচাই করুন; Jafory এটি বিক্রি করে না।","دليل رسمي من DeepLearning.AI وأندرو نغ لدورة AI For Everyone يوضّح المنهج، أسلوب التعلم وشروط الشهادة. استخدم الدليل لمقارنة طريقة التدريس، مدة البرنامج وقواعد الشهادة قبل التسجيل. رابط الشريك لدى جافوري يبقى فارغاً حتى تُمنح الموافقة على البرنامج. تحقّق من تفاصيل الدورة على موقع الجهة المقدّمة؛ جافوري لا يبيع المنتج."
"anker-soundcore-bluetooth-speaker","Anker Soundcore Bluetooth Speaker","Anker Soundcore Bluetooth Speaker is a portable wireless speaker from Anker’s Soundcore line, built to stream audio from Bluetooth-enabled devices. Its compact design suits home, travel and casual outdoor use, offering simple playback and pairing. This listing is for research and discovery—Jafory does not sell the product. Verify the official or authorised seller page for current specs and availability before using any affiliate link.","Anker Soundcore Bluetooth Speaker হলো Anker-এর Soundcore সিরিজের বহনযোগ্য ব্লুটুথ স্পিকার, ব্লুটুথ-সক্ষম ডিভাইস থেকে অডিও স্ট্রিম করার জন্য তৈরি। এর কম্প্যাক্ট ডিজাইন বাড়ি, ভ্রমণ ও হালকা আউটডোর ব্যবহারের জন্য উপযুক্ত, প্লেব্যাক ও পেয়ারিং সহজ করে। এই লিস্টিং গবেষণা ও আবিষ্কারের উদ্দেশ্যে—Jafory পণ্য বিক্রি করে না। কোনো অ্যাফিলিয়েট লিংক ব্যবহারের আগে অফিসিয়াল বা অনুমোদিত বিক্রেতার পাতা যাচাই করুন।","مكبر Anker Soundcore Bluetooth Speaker من سلسلة Soundcore لشركة Anker، مكبر صوت محمول يتيح بث الصوت لاسلكيًا من الأجهزة الداعمة للبلوتوث. تصميمه الصغير مناسب للاستخدام المنزلي والسفر والنشاطات الخارجية الخفيفة، مع تشغيل وربط سهل. هذه القائمة لغرض البحث والاكتشاف — Jafory لا يبيع هذا المنتج. تحقق من صفحة البائع الرسمية أو المعتمد قبل استخدام أي رابط تابع."
"anker-soundcore-life-q20","Anker Soundcore Life Q20 Headphones","Anker Soundcore Life Q20 headphones are a model in Anker’s Soundcore lineup, made for personal audio listening. They are suitable for everyday situations like commuting, work or home use. Specifications, price and local availability can differ by country and seller. Jafory does not sell this item—verify the official product page or an authorised seller in your country before using any affiliate link.","Anker Soundcore Life Q20 হেডফোন Anker-এর Soundcore লাইনের একটি মডেল, ব্যক্তিগত অডিও শোনার জন্য তৈরি। এগুলি দৈনন্দিন ব্যবহারের জন্য উপযোগী—যেমন যাত্রা, অফিস বা বাড়িতে শোনা। স্পেসিফিকেশন, মূল্য ও স্থানীয় পাওয়া-যাওয়া ভিন্ন দেশ ও বিক্রেতা অনুযায়ী পরিবর্তিত হতে পারে। Jafory এটি বিক্রি করে না—কোনও অ্যাফিলিয়েট লিংক ব্যবহারের আগে অফিসিয়াল পণ্য পৃষ্ঠা বা অথরাইজড বিক্রেতা যাচাই করুন।","سماعات Anker Soundcore Life Q20 هي طراز من سلسلة Soundcore لدى Anker، مخصّصة للاستماع الشخصي. مناسبة للاستخدام اليومي مثل التنقل أو العمل أو الاستماع في المنزل. المواصفات والسعر وتوفر المنتج محلياً قد تختلف حسب البلد والبائع. جافوري لا يبيع هذا المنتج—تحقق من صفحة المنتج الرسمية أو بائع معتمد في بلدك قبل اتباع أي رابط إفلييت."
"apple-airtag-4-pack","Apple AirTag 4 Pack","Apple AirTag 4 Pack includes four compact item trackers designed to attach to keys, bags or other belongings. They pair with Apple devices and use the Find My network to help locate misplaced items across distances. Ideal for users within the Apple ecosystem; check device compatibility. Details and stock vary by country — verify the official or authorised seller page before following an affiliate link.","Apple AirTag 4 Pack-এ চারটি ছোট আইটেম ট্র্যাকার আছে, যা চাবি, ব্যাগ বা অন্যান্য জিনিসে লাগানো যায়। সেগুলো Apple ডিভাইসের সঙ্গে জোড়া লাগায় এবং Find My নেটওয়ার্ক ব্যবহার করে হারানো আইটেম খুঁজতে সাহায্য করে। Apple ইকোসিস্টেমে ব্যবহারকারীর জন্য উপযোগী; ডিভাইস উপযোগিতা ও দেশভিত্তিক স্টক যাচাই করে অফিসিয়াল বা অনুমোদিত বিক্রেতার পৃষ্ঠা দেখুন।","حزمة Apple AirTag 4 Pack تحتوي على أربعة أجهزة تعقب صغيرة توضع على المفاتيح والحقائب والأغراض الشخصية. تتصل بجهاز Apple وتستفيد من شبكة Find My للمساعدة في تحديد موقع الأشياء المفقودة داخل نطاقات واسعة. مناسبة لمستخدمي نظام Apple؛ تحقق من توافق جهازك وتوفر المنتج حسب البلد على صفحة البائع الرسمية أو المعتمد قبل اتباع رابط إحالة."
"apple-ipad-10th-gen","Apple iPad 10th Generation","Jafory research entry for Apple iPad 10th Generation. This listing identifies the product and notes that regional merchant availability may vary; specifications, price and stock can change by country or seller. Jafory provides discovery and affiliate links but does not sell the device. Before using any affiliate destination, verify details on the official Apple or an authorised seller page.","Jafory-এর গবেষণা তালিকা: Apple iPad 10th Generation। এই এন্ট্রি পণ্যের পরিচয় ও অঞ্চলভিত্তিক উপলব্ধি জানায়; স্পেসিফিকেশন, দাম ও স্টক দেশ বা বিক্রেতা অনুযায়ী পরিবর্তিত হতে পারে। Jafory পণ্য বিক্রি করে না—এটি অন্বেষণ ও অ্যাফিলিয়েট লিংক দেখায়। কোনো অ্যাফিলিয়েট লিংক ব্যবহারের আগে অফিসিয়াল Apple বা অনুমোদিত বিক্রেতার পেজ যাচাই করুন।","دليل من جافوري لمنتج Apple iPad 10th Generation. تُظهر هذه الإدخالات هوية المنتج وتُشير إلى أن توافر التجار يختلف حسب المنطقة؛ قد تتغير المواصفات والسعر والمخزون بين الدول أو البائعين. جافوري توفر خدمة اكتشاف وروابط تابعة لكنها لا تبيع المنتج. قبل استخدام أي رابط تابع تحقق من صفحة Apple الرسمية أو صفحة بائع معتمد."
"ariel-original-detergent","Ariel Original Laundry Detergent","Ariel Original Laundry Detergent is a household laundry detergent intended for everyday clothes washing. It can be used in washing machines or for hand washing, and is formulated to tackle common soil on fabrics. Package sizes and merchant availability vary by country. Jafory does not sell this product — always verify the manufacturer’s or an authorised seller’s current page before following any affiliate link.","Ariel Original Laundry Detergent একটি গৃহস্থালি লন্ড্রি ডিটারজেন্ট, দৈনন্দিন কাপড় ধোয়ার জন্য উপযোগী। এটি ওয়াশিং মেশিন এবং হাতে ধোয়ায় ব্যবহারের জন্য উপযোগী এবং সাধারণ দাগ-ময়লা সরাতে তৈরি। প্যাকেট সাইজ ও সরবরাহ দেশ এবং বিক্রেতা অনুযায়ী পরিবর্তিত হতে পারে। Jafory এই পণ্যটি বিক্রি করে না — কোনো অ্যাফিলিয়েট লিঙ্ক ব্যবহারের আগে প্রস্তুতকারক বা অনুমোদিত বিক্রেতার পেজ যাচাই করুন।","Ariel Original Laundry Detergent منظف غسيل منزلي مخصص لتنظيف الملابس اليومية. يصلح للاستخدام في غسالات الملابس وكذلك للغسل اليدوي، ومصمم لإزالة الأوساخ الشائعة من الأقمشة. أحجام العبوات وتوفر المنتج يختلفان حسب البلد والبائع. جافوري لا تبيع هذا المنتج — تحقق من صفحة الشركة المصنعة أو البائع المعتمد قبل اتباع أي رابط تابع."
"aws-generative-ai-learning","AWS Generative AI Learning Plan","The AWS Generative AI Learning Plan is a structured study outline covering generative AI concepts and how to use AWS tools to build and deploy AI-enabled applications. This Jafory listing is informational — Jafory does not sell the plan. Product details and availability may differ by country; verify the official provider or authorised seller page before using any affiliate link.","AWS Generative AI Learning Plan একটি সংগঠিত শেখার রূপরেখা যা জেনারেটিভ AI ধারণা ও AWS টুল ব্যবহার করে AI-চালিত অ্যাপ তৈরি ও স্থাপনের প্রাথমিক কৌশল ও অনুশীলন বিন্যাস করে। Jafory এই তালিকাটি তথ্যভিত্তিক; Jafory পণ্য বিক্রি করে না। দেশভেদে বিবরণ ও সরবরাহ বদলাতে পারে — affiliate লিঙ্ক ব্যবহারের আগে official বা authorised seller পেজ যাচাই করুন।","خطة تعلم AWS Generative AI عبارة عن إطار دراسي منظّم يغطي مفاهيم الذكاء الاصطناعي التوليدي وكيفية استخدام أدوات AWS لبناء وتشغيل تطبيقات مدعومة بالذكاء الاصطناعي. هذه القائمة على Jafory لأغراض المعلومات فقط؛ Jafory لا تبيع المنتج. قد تتغير المواصفات والتوفر حسب البلد — تحقق من صفحة المزود الرسمي أو البائع المعتمد قبل استخدام أي رابط تابع."
"bayti-decorative-round-storage-box","BAYTI Decorative Round Storage Box","The BAYTI Decorative Round Storage Box is a compact, circular container for organizing small items on a vanity, shelf or coffee table. Pick a finish and size that match your décor and check whether the lid includes a handle or knob you prefer. Handy for jewelry, keys or small keepsakes. Verify dimensions, material and seller details before purchase — Jafory does not sell this item.","BAYTI Decorative Round Storage Box একটি গোলাকার ছোট স্টোরেজ বক্স, ভ্যানিটি, শেলফ বা কফি টেবিলে ছোট জিনিস সাজাতে ব্যবহার করা যায়। আপনার ডেকরের সঙ্গে মানানসই ফিনিশ ও সাইজ বেছে নিন ও ঢাকনার হ্যান্ডেল আছে কি না যাচাই করুন। গহনা, চাবি বা ছোট স্মৃতি সামগ্রী রাখার জন্য উপযোগী। কেনার আগে মাত্রা, উপাদান ও বিক্রেতার বিবরণ নিশ্চিত করুন — Jafory এটি বিক্রি করে না।","صندوق التخزين الدائري الزخرفي BAYTI عبارة عن علبة مدورة صغيرة لتنظيم الأغراض الصغيرة على منضدة الزينة أو رفّ أو طاولة القهوة. اختر التشطيب والحجم المناسبين لديكورك وتحقق من وجود مقبض للغطاء تفضله. مناسب لحفظ المجوهرات والمفاتيح والتذكارات الصغيرة. تحقق من الأبعاد والخامة وتفاصيل البائع قبل الشراء — Jafory لا يبيع هذا المنتج."
"belkin-boostcharge-usb-c","Belkin BoostCharge USB-C Charger","Belkin BoostCharge USB-C Charger is a compact wall charger from Belkin that powers devices using a USB-C connection. Designed for everyday use and travel, it works with phones, tablets and other USB-C–compatible gadgets; check whether a cable is included. Jafory does not sell this item — confirm specifications, pricing and authorised seller details on the official product page before using any affiliate link.","Belkin BoostCharge USB-C Charger হলো Belkin-এর একটি কম্প্যাক্ট USB-C ওয়াল চার্জার যা USB-C পোর্টযুক্ত ডিভাইস চার্জ করার জন্য তৈরি। দৈনন্দিন ব্যবহারে বা ভ্রমণে সুবিধাজনক, এটি ফোন, ট্যাবলেট ও অন্যান্য USB-C সামঞ্জস্যশীল যন্ত্রের সঙ্গে কাজ করে; কেবল অন্তর্ভুক্ত আছে কি না যাচাই করুন। জ্যাফরি এটি বিক্রি করে না — অ্যাফিলিয়েট লিংক ব্যবহারের আগে অফিসিয়াল বিক্রেতার পেজে তথ্য ও উপলব্ধতা নিশ্চিত করুন।","شاحن Belkin BoostCharge USB-C هو شاحن حائط مدمج من Belkin يزود الأجهزة المزودة بمنفذ USB‑C بالطاقة. مناسب للاستخدام اليومي والسفر ويتوافق مع الهواتف والأجهزة اللوحية وغيرها من الأجهزة الداعمة لUSB‑C؛ تحقق مما إذا كان الكابل مرفقًا. جافوري لا يبيع هذا المنتج — راجع صفحة البائع الرسمي لتأكيد المواصفات والتوفر قبل استخدام أي رابط إحالة."
