Category,Candidate,Short URL
Car phone holder,1,https://amzn.eu/d/07lIn3Pn
Car phone holder,2,https://amzn.eu/d/01U6IKsl
65W USB-C charger,1,https://amzn.eu/d/09sth2q2
65W USB-C charger,2,https://amzn.eu/d/01zC8veG
Smart plug,1,https://amzn.eu/d/0gJKry6T
Smart plug,2,https://amzn.eu/d/001EVAn9
Wireless car charger holder,1,https://amzn.eu/d/0fMzDO0D
Wireless car charger holder,2,https://amzn.eu/d/090cFUKx
Mini bakhoor burner,1,https://amzn.eu/d/07HXuXCl
Mini bakhoor burner,2,https://amzn.eu/d/003VK1f9
